"id","male","Eqp","Age","BodyweightKg","Y","super","obs","ratio","Age2"
40,1,3,26.5,60,205,1,3,3.41666666666667,702.25
40,1,3,42.5,66.54,202.5,1,4,3.04328223624887,1806.25
40,1,3,48.5,67.2,215,1,5,3.19940476190476,2352.25
41,1,3,37.5,125,265,0,1,2.12,1406.25
41,1,3,39.5,123.2,275,0,2,2.23214285714286,1560.25
41,1,3,39.5,125,265,0,3,2.12,1560.25
41,1,3,41.5,122.6,270,0,4,2.20228384991843,1722.25
41,1,3,43.5,130.7,277.5,0,5,2.12318286151492,1892.25
41,1,3,45.5,134.1,250,0,6,1.86428038777032,2070.25
41,1,3,47.5,123,265,0,7,2.15447154471545,2256.25
41,1,3,48.5,123.5,240,0,8,1.94331983805668,2352.25
41,1,3,48.5,124.9,275,0,9,2.2017614091273,2352.25
41,1,3,50.5,127,235,0,10,1.8503937007874,2550.25
41,1,4,51.5,124.4,192.5,0,11,1.54742765273312,2652.25
41,1,4,55.5,131,195,0,12,1.48854961832061,3080.25
42,1,3,28,67.5,172.5,1,1,2.55555555555556,784
42,1,3,34.5,67.5,187.5,1,2,2.77777777777778,1190.25
42,1,3,48,66.68,182.46,1,3,2.73635272945411,2304
42,1,3,50,66.86,170,1,4,2.54262638348789,2500
42,1,3,51,69.22,177.5,1,5,2.56428777809882,2601
42,1,3,53,65.95,177.5,1,6,2.69143290371494,2809
42,1,3,57,62.05,142.5,0,7,2.29653505237712,3249
43,1,3,40,82.5,227.5,1,1,2.75757575757576,1600
43,1,4,65,90,217.5,0,2,2.41666666666667,4225
43,1,4,72,88.45,147.5,0,3,1.66760881854155,5184
43,1,4,72,88.45,147.5,0,4,1.66760881854155,5184
43,1,4,73,98.2,182.5,0,5,1.85845213849287,5329
44,1,3,42,67.4,180,1,1,2.67062314540059,1764
44,1,3,44,56,162.5,1,2,2.90178571428571,1936
44,1,3,46,59.9,172.5,1,3,2.87979966611018,2116
44,1,3,47,60,170,1,4,2.83333333333333,2209
44,1,3,49,59.6,162.5,1,5,2.72651006711409,2401
44,1,3,51,59.8,165,1,6,2.75919732441472,2601
44,1,3,53,59.9,162.5,1,7,2.71285475792988,2809
44,1,1,58,71.7,162.5,0,8,2.26638772663877,3364
44,1,1,60,72.5,180,0,9,2.48275862068966,3600
44,1,1,63,73.7,180,0,10,2.44233378561737,3969
44,1,2,64,67.1,145,0,11,2.16095380029806,4096
44,1,2,68,72.2,150,0,12,2.07756232686981,4624
45,1,3,44.5,87.7,215,0,1,2.4515393386545,1980.25
45,1,3,45.5,98.65,217.5,0,2,2.20476431829701,2070.25
45,1,3,48.5,89.8,230,1,3,2.56124721603563,2352.25
45,1,3,49.5,100,240,0,4,2.4,2450.25
45,1,3,53.5,93.4,245,1,5,2.62312633832976,2862.25
45,1,3,54.5,92.5,222.5,0,6,2.40540540540541,2970.25
